refresh_id,dataset_id,dataset_name,workspace_id,workspace_name,refresh_type,triggered_by,start_datetime,end_datetime,duration_minutes,status,rows_processed,error_code,error_message,refresh_mode
REF-00001,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-25 16:33:34,2026-05-25 16:37:34,4,Failed,0,AUTH_FAIL,Schema change detected in source,Full
REF-00002,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,Schedule,2026-05-24 16:33:34,2026-05-24 16:48:34,15,Success,1975892,,,Full
REF-00003,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-23 15:33:34,2026-05-23 15:37:34,4,Success,514713,,,Full
REF-00004,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-22 13:33:34,2026-05-22 13:39:34,6,Success,523244,,,Full
REF-00005,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,API,2026-05-21 14:33:34,2026-05-21 15:25:34,52,Success,128371,,,Full
REF-00006,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-20 12:33:34,2026-05-20 13:14:34,41,Success,1630130,,,Incremental
REF-00007,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-19 13:33:34,2026-05-19 14:09:34,36,Success,473560,,,Incremental
REF-00008,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-18 11:33:34,2026-05-18 11:47:34,14,Success,1322802,,,Full
REF-00009,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-17 11:33:34,2026-05-17 12:18:34,45,Success,809339,,,Incremental
REF-00010,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-16 12:33:34,2026-05-16 12:47:34,14,Success,1592125,,,Full
REF-00011,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-15 13:33:34,2026-05-15 13:39:34,6,Success,1189408,,,Incremental
REF-00012,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,User,2026-05-14 12:33:34,2026-05-14 12:49:34,16,Success,702611,,,Incremental
REF-00013,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-13 14:33:34,2026-05-13 14:48:34,15,Success,118080,,,Incremental
REF-00014,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Scheduled,Schedule,2026-05-12 16:33:34,2026-05-12 17:24:34,51,Success,1242252,,,Incremental
REF-00015,DS-001,FAR Semantic Model,WS-002,Michigan Auto - FAR Reporting,Manual,API,2026-05-11 16:33:34,2026-05-11 16:36:34,3,Success,454193,,,Full
