downtime_id,machine_id,machine_name,plant,shift,downtime_start,duration_minutes,reason_code,is_planned,cost_of_downtime_usd,reported_by,work_order_id
DT-000001,MCH-010,CNC Mill 1,Flint Plant,Night,2025-08-16 00:32:34,30,Mechanical Failure,True,1263.8,ops.lead@michiganauto.com,WO-74087
DT-000002,MCH-014,Stamping Press 2,Detroit Plant,Night,2026-03-09 16:45:34,15,Material Shortage,True,3242.89,exec.admin@michiganauto.com,
DT-000003,MCH-018,Conveyor Belt 2,Detroit Plant,Morning,2025-11-10 05:17:34,15,Power Outage,False,3310.38,ops.lead@michiganauto.com,
DT-000004,MCH-008,Assembly Line 2,Flint Plant,Night,2026-05-20 20:10:34,60,Quality Hold,False,2783.17,hse.mgr@michiganauto.com,WO-62677
DT-000005,MCH-001,Press Line A,Detroit Plant,Afternoon,2025-05-28 09:28:34,30,Electrical Fault,False,1447.84,exec.admin@michiganauto.com,WO-29952
DT-000006,MCH-010,CNC Mill 1,Lansing Plant,Night,2026-01-09 11:30:34,5,Mechanical Failure,False,531.77,finance@michiganauto.com,WO-71118
DT-000007,MCH-009,Assembly Line 3,Detroit Plant,Night,2026-02-04 02:33:34,60,Mechanical Failure,True,2976.3,finance@michiganauto.com,WO-93762
DT-000008,MCH-006,Paint Booth Beta,Flint Plant,Afternoon,2025-08-12 01:32:34,30,Material Shortage,False,1584.2,analyst2@michiganauto.com,WO-25019
DT-000009,MCH-014,Stamping Press 2,Detroit Plant,Night,2026-02-23 21:42:34,5,Operator Break,True,783.51,ops.lead@michiganauto.com,WO-63150
DT-000010,MCH-019,Inspection Station,Lansing Plant,Afternoon,2025-06-17 22:25:34,30,Scheduled Maintenance,True,3329.16,kwhite@michiganauto.com,
DT-000011,MCH-002,Press Line B,Flint Plant,Morning,2025-08-30 17:29:34,120,Unknown,False,664.67,analyst2@michiganauto.com,
DT-000012,MCH-011,CNC Mill 2,Detroit Plant,Night,2026-02-03 11:39:34,30,Mechanical Failure,False,3571.96,exec.admin@michiganauto.com,WO-46255
DT-000013,MCH-016,Robotic Arm B,Lansing Plant,Night,2025-07-06 09:00:34,30,Tooling Change,False,4639.24,kwhite@michiganauto.com,
DT-000014,MCH-017,Conveyor Belt 1,Lansing Plant,Night,2025-09-02 22:39:34,5,Tooling Change,True,2248.3,hse.mgr@michiganauto.com,WO-75577
DT-000015,MCH-009,Assembly Line 3,Detroit Plant,Night,2025-09-02 15:23:34,480,Operator Break,False,2933.24,kwhite@michiganauto.com,WO-99434
DT-000016,MCH-008,Assembly Line 2,Flint Plant,Afternoon,2025-07-06 22:12:34,15,Mechanical Failure,False,4088.67,ops.lead@michiganauto.com,
DT-000017,MCH-016,Robotic Arm B,Detroit Plant,Morning,2025-08-04 13:33:34,60,Material Shortage,True,961.04,ops.lead@michiganauto.com,WO-52080
DT-000018,MCH-018,Conveyor Belt 2,Flint Plant,Morning,2025-09-24 23:08:34,5,Unknown,False,4431.46,analyst2@michiganauto.com,
DT-000019,MCH-007,Assembly Line 1,Lansing Plant,Night,2026-02-19 19:30:34,5,Tooling Change,True,3408.0,maint.mgr@michiganauto.com,
DT-000020,MCH-008,Assembly Line 2,Flint Plant,Afternoon,2026-05-10 09:10:34,240,Mechanical Failure,False,4573.67,finance@michiganauto.com,
DT-000021,MCH-003,Welding Station 1,Lansing Plant,Morning,2026-01-18 21:31:34,30,Material Shortage,True,4377.52,ops.lead@michiganauto.com,WO-14875
DT-000022,MCH-016,Robotic Arm B,Flint Plant,Morning,2025-12-14 17:12:34,15,Power Outage,False,3114.48,ops.lead@michiganauto.com,
DT-000023,MCH-006,Paint Booth Beta,Flint Plant,Morning,2026-03-20 16:18:34,15,Mechanical Failure,False,4589.85,ds.lead@michiganauto.com,
DT-000024,MCH-006,Paint Booth Beta,Detroit Plant,Night,2026-03-19 03:18:34,240,Setup & Changeover,False,4414.1,kwhite@michiganauto.com,WO-60864
DT-000025,MCH-009,Assembly Line 3,Detroit Plant,Afternoon,2025-10-09 18:19:34,5,Operator Break,True,4211.91,ops.lead@michiganauto.com,
DT-000026,MCH-007,Assembly Line 1,Flint Plant,Night,2025-06-22 21:43:34,5,Setup & Changeover,True,1356.36,ds.lead@michiganauto.com,
DT-000027,MCH-020,Quality Gate 1,Detroit Plant,Morning,2026-02-20 20:01:34,15,Operator Break,True,3879.21,ds.lead@michiganauto.com,WO-20893
DT-000028,MCH-006,Paint Booth Beta,Flint Plant,Night,2026-03-11 04:53:34,30,Tooling Change,False,2752.21,analyst2@michiganauto.com,
DT-000029,MCH-018,Conveyor Belt 2,Flint Plant,Afternoon,2026-02-06 05:02:34,15,Quality Hold,True,3987.09,maint.mgr@michiganauto.com,
DT-000030,MCH-012,CNC Mill 3,Flint Plant,Morning,2025-11-20 03:27:34,120,Scheduled Maintenance,False,3338.46,analyst2@michiganauto.com,WO-97994
DT-000031,MCH-015,Robotic Arm A,Flint Plant,Night,2026-01-29 09:50:34,15,Electrical Fault,False,183.67,ops.lead@michiganauto.com,WO-78400
DT-000032,MCH-017,Conveyor Belt 1,Flint Plant,Afternoon,2025-11-18 06:53:34,60,Scheduled Maintenance,True,3680.16,maint.mgr@michiganauto.com,
DT-000033,MCH-019,Inspection Station,Detroit Plant,Night,2025-08-13 22:03:34,15,Scheduled Maintenance,False,1433.42,ds.lead@michiganauto.com,WO-40183
DT-000034,MCH-013,Stamping Press 1,Lansing Plant,Morning,2025-06-13 09:23:34,15,Material Shortage,False,1011.79,kwhite@michiganauto.com,WO-95690
DT-000035,MCH-004,Welding Station 2,Detroit Plant,Night,2025-08-03 12:47:34,5,Electrical Fault,True,4364.79,exec.admin@michiganauto.com,WO-56916
DT-000036,MCH-019,Inspection Station,Flint Plant,Afternoon,2025-12-17 20:30:34,5,Electrical Fault,False,3538.93,exec.admin@michiganauto.com,WO-89624
DT-000037,MCH-018,Conveyor Belt 2,Detroit Plant,Night,2025-11-16 19:51:34,15,Quality Hold,False,4867.39,maint.mgr@michiganauto.com,
DT-000038,MCH-019,Inspection Station,Detroit Plant,Morning,2026-03-25 08:14:34,30,Tooling Change,False,4404.71,analyst2@michiganauto.com,WO-18544
DT-000039,MCH-015,Robotic Arm A,Detroit Plant,Morning,2025-10-13 06:48:34,240,Unknown,False,2224.76,exec.admin@michiganauto.com,WO-30766
DT-000040,MCH-019,Inspection Station,Lansing Plant,Afternoon,2025-10-16 17:19:34,15,Tooling Change,False,399.0,kwhite@michiganauto.com,WO-50285
DT-000041,MCH-011,CNC Mill 2,Lansing Plant,Night,2025-11-25 16:05:34,60,Quality Hold,False,1624.18,analyst1@michiganauto.com,
DT-000042,MCH-007,Assembly Line 1,Flint Plant,Morning,2026-04-05 16:14:34,120,Power Outage,True,2014.99,analyst1@michiganauto.com,WO-51213
DT-000043,MCH-001,Press Line A,Flint Plant,Morning,2025-08-20 20:49:34,120,Quality Hold,False,402.52,ds.lead@michiganauto.com,WO-45703
DT-000044,MCH-012,CNC Mill 3,Lansing Plant,Morning,2026-02-14 15:48:34,240,Material Shortage,False,1936.55,ops.lead@michiganauto.com,WO-97385
DT-000045,MCH-009,Assembly Line 3,Lansing Plant,Morning,2025-07-01 04:31:34,60,Operator Break,False,2096.84,ops.lead@michiganauto.com,WO-90502
DT-000046,MCH-013,Stamping Press 1,Lansing Plant,Morning,2025-08-07 00:26:34,5,Tooling Change,False,1118.34,exec.admin@michiganauto.com,
DT-000047,MCH-005,Paint Booth Alpha,Detroit Plant,Afternoon,2026-02-22 11:09:34,30,Material Shortage,True,4137.72,analyst1@michiganauto.com,WO-24931
DT-000048,MCH-012,CNC Mill 3,Lansing Plant,Night,2026-02-09 11:35:34,5,Unknown,False,1802.87,ds.lead@michiganauto.com,WO-42771
DT-000049,MCH-008,Assembly Line 2,Lansing Plant,Night,2025-12-11 22:36:34,30,Electrical Fault,False,1903.79,finance@michiganauto.com,WO-61804
DT-000050,MCH-003,Welding Station 1,Flint Plant,Night,2025-09-07 11:18:34,15,Electrical Fault,False,128.64,ops.lead@michiganauto.com,
DT-000051,MCH-019,Inspection Station,Lansing Plant,Morning,2025-08-04 01:37:34,240,Electrical Fault,False,101.22,exec.admin@michiganauto.com,WO-45195
DT-000052,MCH-006,Paint Booth Beta,Flint Plant,Morning,2025-12-10 19:31:34,5,Scheduled Maintenance,True,4172.56,maint.mgr@michiganauto.com,
DT-000053,MCH-008,Assembly Line 2,Detroit Plant,Afternoon,2025-11-08 14:07:34,30,Setup & Changeover,False,186.17,finance@michiganauto.com,WO-81067
DT-000054,MCH-011,CNC Mill 2,Flint Plant,Morning,2026-04-09 03:54:34,15,Scheduled Maintenance,False,4181.98,ds.lead@michiganauto.com,WO-19513
DT-000055,MCH-004,Welding Station 2,Detroit Plant,Night,2026-03-12 08:12:34,15,Power Outage,True,3525.86,kwhite@michiganauto.com,WO-17293
DT-000056,MCH-006,Paint Booth Beta,Detroit Plant,Morning,2026-04-27 20:30:34,15,Power Outage,False,3645.5,analyst1@michiganauto.com,
DT-000057,MCH-003,Welding Station 1,Lansing Plant,Morning,2025-11-09 11:45:34,15,Material Shortage,False,2091.08,finance@michiganauto.com,WO-71712
DT-000058,MCH-018,Conveyor Belt 2,Flint Plant,Afternoon,2025-07-26 06:45:34,240,Mechanical Failure,False,1457.2,hse.mgr@michiganauto.com,
DT-000059,MCH-010,CNC Mill 1,Lansing Plant,Afternoon,2025-12-31 13:58:34,240,Electrical Fault,False,4142.25,maint.mgr@michiganauto.com,WO-47989
DT-000060,MCH-015,Robotic Arm A,Detroit Plant,Night,2026-04-16 23:35:34,30,Tooling Change,False,65.83,finance@michiganauto.com,WO-78209
