transaction_id,period,cost_centre_id,cost_centre_name,gl_account_id,gl_account_name,plant,budget_amount_usd,actual_amount_usd,variance_amount_usd,variance_pct,posted_by,posted_date,approved_by,journal_reference,is_accrual,fiscal_year,fiscal_quarter
FAR-000001,2024-09,CC-1005,Quality Control,GL-4001,Direct Labour,Flint Plant,37946.84,44051.99,6105.15,16.09,finance@michiganauto.com,2026-03-19,maint.mgr@michiganauto.com,JNL-576188,True,2024,Q3
FAR-000002,2024-03,CC-1005,Quality Control,GL-6002,External Repairs,Detroit Plant,167067.11,143640.18,-23426.93,-14.02,exec.admin@michiganauto.com,2025-09-11,john.smith@michiganauto.com,JNL-533825,False,2024,Q3
FAR-000003,2024-10,CC-1003,Paint Shop,GL-5002,Consumables,Detroit Plant,67951.46,71043.89,3092.43,4.55,finance@michiganauto.com,2026-02-27,ops.lead@michiganauto.com,JNL-834737,False,2024,Q4
FAR-000004,2024-12,CC-3002,IT Operations,GL-6002,External Repairs,Detroit Plant,176331.85,110678.3,-65653.55,-37.23,finance@michiganauto.com,2025-10-26,maint.mgr@michiganauto.com,JNL-674933,False,2024,Q2
FAR-000005,2024-06,CC-1004,Assembly Dept,GL-5003,Tooling,Flint Plant,11227.62,15672.81,4445.19,39.59,finance@michiganauto.com,2026-02-21,maint.mgr@michiganauto.com,JNL-916164,False,2024,Q2
FAR-000006,2024-12,CC-3002,IT Operations,GL-5001,Raw Materials,Detroit Plant,201860.63,209355.25,7494.62,3.71,analyst2@michiganauto.com,2025-09-17,ops.lead@michiganauto.com,JNL-866917,False,2024,Q4
FAR-000007,2024-05,CC-2003,HSE & Compliance,GL-5002,Consumables,Detroit Plant,192510.55,124808.43,-67702.12,-35.17,analyst1@michiganauto.com,2025-07-20,ds.lead@michiganauto.com,JNL-268218,False,2024,Q4
FAR-000008,2024-10,CC-1005,Quality Control,GL-5003,Tooling,Flint Plant,192986.28,263058.97,70072.69,36.31,exec.admin@michiganauto.com,2025-06-14,john.smith@michiganauto.com,JNL-820413,False,2024,Q2
FAR-000009,2024-02,CC-2002,Tooling & Fixtures,GL-4002,Indirect Labour,Flint Plant,94209.62,127855.97,33646.35,35.71,exec.admin@michiganauto.com,2025-11-26,maint.mgr@michiganauto.com,JNL-548383,False,2024,Q3
FAR-000010,2024-11,CC-2003,HSE & Compliance,GL-4001,Direct Labour,Detroit Plant,34278.86,26397.28,-7881.58,-22.99,analyst1@michiganauto.com,2025-11-13,john.smith@michiganauto.com,JNL-796342,False,2024,Q2
FAR-000011,2024-02,CC-3002,IT Operations,GL-5004,Energy,Lansing Plant,226402.89,189266.84,-37136.05,-16.4,analyst1@michiganauto.com,2025-09-26,maint.mgr@michiganauto.com,JNL-937289,False,2024,Q4
FAR-000012,2024-08,CC-1001,Stamping Dept,GL-6002,External Repairs,Flint Plant,38143.4,57007.95,18864.55,49.46,analyst2@michiganauto.com,2026-03-10,ds.lead@michiganauto.com,JNL-864378,True,2024,Q4
FAR-000013,2024-06,CC-1001,Stamping Dept,GL-7001,Overhead Allocation,Lansing Plant,40475.05,45358.18,4883.13,12.06,exec.admin@michiganauto.com,2025-07-11,john.smith@michiganauto.com,JNL-552081,False,2024,Q2
FAR-000014,2024-12,CC-2003,HSE & Compliance,GL-4003,Contractor Cost,Lansing Plant,72516.33,101202.26,28685.93,39.56,finance@michiganauto.com,2025-08-08,john.smith@michiganauto.com,JNL-297932,False,2024,Q1
