kpi_id,date,shift,machine_id,machine_name,plant,planned_minutes,run_time_minutes,downtime_minutes,availability_pct,performance_pct,quality_pct,oee_pct,total_parts,good_parts,scrap_parts,theoretical_output,actual_output,energy_kwh
KPI-000001,2026-05-25,Morning,MCH-001,Press Line A,Flint Plant,480,464,15,0.9679,0.8356,0.9526,0.7704,588,560,28,523,433,311.36
KPI-000002,2026-05-25,Afternoon,MCH-001,Press Line A,Lansing Plant,480,447,32,0.9315,0.7539,0.9817,0.6894,448,439,9,689,367,118.57
KPI-000003,2026-05-25,Night,MCH-001,Press Line A,Flint Plant,480,408,71,0.8513,0.926,0.974,0.7678,566,551,15,570,546,305.28
KPI-000004,2026-05-24,Morning,MCH-001,Press Line A,Flint Plant,480,350,129,0.7307,0.9221,0.9815,0.6613,284,278,6,652,627,214.36
KPI-000005,2026-05-24,Afternoon,MCH-001,Press Line A,Detroit Plant,480,416,63,0.8674,0.8806,0.9465,0.723,528,499,29,585,577,243.22
KPI-000006,2026-05-24,Night,MCH-001,Press Line A,Lansing Plant,480,346,133,0.7228,0.807,0.9493,0.5537,325,308,17,564,455,278.33
KPI-000007,2026-05-23,Morning,MCH-001,Press Line A,Flint Plant,480,443,36,0.9237,0.7449,0.998,0.6867,329,328,1,419,493,202.16
KPI-000008,2026-05-23,Afternoon,MCH-001,Press Line A,Detroit Plant,480,346,133,0.7227,0.8059,0.9445,0.5501,263,248,15,573,396,94.0
KPI-000009,2026-05-23,Night,MCH-001,Press Line A,Lansing Plant,480,469,10,0.9783,0.9185,0.9367,0.8417,485,454,31,698,551,295.13
KPI-000010,2026-05-22,Morning,MCH-001,Press Line A,Lansing Plant,480,420,59,0.8752,0.8177,0.9523,0.6815,343,326,17,559,457,232.21
KPI-000011,2026-05-22,Afternoon,MCH-001,Press Line A,Flint Plant,480,465,14,0.97,0.7706,0.9445,0.706,448,423,25,428,393,260.98
KPI-000012,2026-05-22,Night,MCH-001,Press Line A,Lansing Plant,480,459,20,0.9571,0.8933,0.9417,0.8051,211,198,13,540,547,153.27
KPI-000013,2026-05-21,Morning,MCH-001,Press Line A,Lansing Plant,480,445,34,0.9283,0.8068,0.9955,0.7456,500,497,3,429,345,140.14
KPI-000014,2026-05-21,Afternoon,MCH-001,Press Line A,Flint Plant,480,365,114,0.7614,0.8046,0.9897,0.6063,474,469,5,626,335,188.64
KPI-000015,2026-05-21,Night,MCH-001,Press Line A,Flint Plant,480,415,64,0.865,0.7334,0.9239,0.5861,442,408,34,640,365,216.6
KPI-000016,2026-05-20,Morning,MCH-001,Press Line A,Lansing Plant,480,450,29,0.9385,0.8625,0.9604,0.7774,216,207,9,558,573,237.63
KPI-000017,2026-05-20,Afternoon,MCH-001,Press Line A,Flint Plant,480,439,40,0.915,0.8362,0.9225,0.7058,451,416,35,670,578,167.53
KPI-000018,2026-05-20,Night,MCH-001,Press Line A,Detroit Plant,480,339,140,0.7069,0.7359,0.9608,0.4998,248,238,10,507,370,146.44
KPI-000019,2026-05-19,Morning,MCH-001,Press Line A,Detroit Plant,480,465,14,0.9705,0.7549,0.965,0.707,486,468,18,406,413,154.48
KPI-000020,2026-05-19,Afternoon,MCH-001,Press Line A,Lansing Plant,480,378,101,0.7878,0.7909,0.9816,0.6116,476,467,9,565,320,161.82
KPI-000021,2026-05-19,Night,MCH-001,Press Line A,Flint Plant,480,390,89,0.813,0.9313,0.9359,0.7086,342,320,22,679,582,184.98
KPI-000022,2026-05-18,Morning,MCH-001,Press Line A,Lansing Plant,480,356,123,0.7426,0.831,0.9324,0.5754,484,451,33,622,498,200.1
